"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"SF_ID";"SPICEPREFIX";"STANDARD";"VENDOR";
"ADC";"";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C1";"47 uF";"CPOL-USE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C2";"47uF";"CPOL-USE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C3";"22uF";"CPOL-USE3.5-8";"E3,5-8";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C4";"10uF";"CPOL-USE3.5-8";"E3,5-8";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"C5";"0.1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C6";"0.01uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C7";"0.1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C8";"10uF";"GRT31CR61H106ME01L";"CAPC3216X180N";"Murata 10uF Multilayer Ceramic Capacitor MLCC 50V dc +/-20% X5R Dielectric 1206 SMD, Max. Temp. +85C";"Murata 10uF Multilayer Ceramic Capacitor MLCC 50V dc +/-20% X5R Dielectric 1206 SMD, Max. Temp. +85C";"1.8mm";"";"Murata Electronics";"GRT31CR61H106ME01L";"";"81-GRT31CR61H106ME1L";"https://www.mouser.com/Search/Refine.aspx?Keyword=81-GRT31CR61H106ME1L";"";"";"";"";"";"";"";"";
"C9";"10uF";"GRT31CR61H106ME01L";"CAPC3216X180N";"Murata 10uF Multilayer Ceramic Capacitor MLCC 50V dc +/-20% X5R Dielectric 1206 SMD, Max. Temp. +85C";"Murata 10uF Multilayer Ceramic Capacitor MLCC 50V dc +/-20% X5R Dielectric 1206 SMD, Max. Temp. +85C";"1.8mm";"";"Murata Electronics";"GRT31CR61H106ME01L";"";"81-GRT31CR61H106ME1L";"https://www.mouser.com/Search/Refine.aspx?Keyword=81-GRT31CR61H106ME1L";"";"";"";"";"";"";"";"";
"C10";"47uF";"GRM21BR61A476ME15L";"CAPC2012X145N";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0805 47uF 10volts *Derate Voltage/Temp";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0805 47uF 10volts *Derate Voltage/Temp";"1.45mm";"";"Murata Electronics";"GRM21BR61A476ME15L";"";"81-GRM21BR61A476ME5L";"https://www.mouser.com/Search/Refine.aspx?Keyword=81-GRM21BR61A476ME5L";"";"";"";"";"";"";"";"";
"C11";"22uF";"CPOL-USE3.5-8";"E3,5-8";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"D1";"";"DIODESOD-123";"SOD-123";"Diode";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D2";"";"DIODESOD-123";"SOD-123";"Diode";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D3";"";"DIODESOD-123";"SOD-123";"Diode";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"DP$1";"DISPLAY-OLED-128X64-I2C";"DISPLAY-OLED-128X64-I2C";"DISPLAY-OLED-128X64-I2C";"128x64 Dot Matrix OLED Module based on SSD1306 chip";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"ESTOP";"RGBLED_CA-5MM";"RGBLED_CA-5MM";"LED5MMRGB";"RGB LED, common-anode5MM Staggered pins5mm Piranha package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"I2C";"";"PINHD-1X4";"1X04";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC1";"74LVC1G08GW,125";"74LVC1G08GW,125";"SOT65P212X110-5N";"74LVC1G08GW,125, Logic Gate 2 Input AND, LVC, 32mA 1.65 to 5.5V 5-Pin TSSOP";"74LVC1G08GW,125, Logic Gate 2 Input AND, LVC, 32mA 1.65 to 5.5V 5-Pin TSSOP";"1.1mm";"";"Nexperia";"74LVC1G08GW,125";"";"771-74LVC1G08GW-G";"https://www.mouser.com/Search/Refine.aspx?Keyword=771-74LVC1G08GW-G";"";"";"";"";"";"";"";"";
"IC2";"ADS1015IDGSR";"ADS1015IDGSR";"SOP50P490X110-10N";"12-Bit, 3.3kSPS, 4-Ch Delta-Sigma ADC With PGA, Oscillator, VREF, Comparator and I2C Interface";"12-Bit, 3.3kSPS, 4-Ch Delta-Sigma ADC With PGA, Oscillator, VREF, Comparator and I2C Interface";"1.1mm";"";"Texas Instruments";"ADS1015IDGSR";"";"595-ADS1015IDGSR";"https://www.mouser.com/Search/Refine.aspx?Keyword=595-ADS1015IDGSR";"";"";"";"";"";"";"";"";
"IC3";"MAX487CSA+";"MAX487CSA+";"SOIC127P600X175-8N";"MAX487CSA+, Line Transceiver, RS-485, RS-422 Differential, 5V, 8-Pin SOIC";"MAX487CSA+, Line Transceiver, RS-485, RS-422 Differential, 5V, 8-Pin SOIC";"1.75mm";"";"Maxim Integrated";"MAX487CSA+";"";"700-MAX487CSA";"https://www.mouser.com/Search/Refine.aspx?Keyword=700-MAX487CSA";"";"";"";"";"";"";"";"";
"IC4";"TPSM53604RDAR";"TPSM53604RDAR";"TPSM53604RDAR";"Switching Voltage Regulators 36-V, 4-A step-down power module in small 5.5 x 5 x 4mm RLF QFN package with simple footprint 15-B3QFN -40 to 125";"Switching Voltage Regulators 36-V, 4-A step-down power module in small 5.5 x 5 x 4mm RLF QFN package with simple footprint 15-B3QFN -40 to 125";"4.1mm";"";"Texas Instruments";"TPSM53604RDAR";"";"595-TPSM53604RDAR";"https://www.mouser.com/Search/Refine.aspx?Keyword=595-TPSM53604RDAR";"";"";"";"";"";"";"";"";
"IC5";"MCP23008-E";"MCP23008-E_SO";"SOIC127P1030X265-18N";"8-bit I/O Expander,I2C,MCP23008-E/SO";"8-bit I/O Expander,I2C,MCP23008-E/SO";"2.65mm";"";"Microchip";"MCP23008-E/SO";"";"579-MCP23008-E/SO";"https://www.mouser.com/Search/Refine.aspx?Keyword=579-MCP23008-E%2FSO";"";"";"";"";"";"";"";"";
"J1";"RASPBERRYPI-40-PIN-GPIO_PTH";"RASPBERRYPI-40-PIN-GPIO_PTH";"2X20_SHROUDED";"Raspberry Pi GPIO Header";"";"";"";"";"";"";"";"";"";"";"";"CONN-12263";"PRT-13054";"";"";"";
"J2";"70246-1604";"70246-1604";"SHDR16W64P254_2X8_2794X889X947";"Molex C-GRID 70246, 2.54mm Pitch, 16 Way, 2 Row, Straight PCB Header, Through Hole";"Molex C-GRID 70246, 2.54mm Pitch, 16 Way, 2 Row, Straight PCB Header, Through Hole";"9.47mm";"";"Molex";"70246-1604";"";"538-70246-1604";"https://www.mouser.com/Search/Refine.aspx?Keyword=538-70246-1604";"";"";"";"";"";"";"";"";
"JP1";"";"PINHD-1X2";"1X02";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP2";"";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"LED1";"RGBLED_CA-5MM";"RGBLED_CA-5MM";"LED5MMRGB";"RGB LED, common-anode5MM Staggered pins5mm Piranha package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"M1";"ARDUINO-NANO-3.0";"ARDUINO-NANO-3.0";"ARDUINO-NANO-3.0";"Arduino Nano 3.0 and compatible devices";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"MCP";"";"PINHD-1X7";"1X07";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"MD$1";"REG-AMS1117-3P-3.3V#V";"REG-AMS1117-3P-3.3V#V";"REG-AMS1117-3P#V";"Linear Regulator based on AMS1117 chip";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"MD$2";"E01-ML01DP5";"E01-ML01DP5";"E01-ML01DP5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PS1";"P78E05-1000";"P78E05-1000";"CONV_P78E05-1000";"NON-ISOLATED DC SWITCHING REGULATOR";"";"";"CUI Inc";"";"";"";"";"";"";"";"";"";"";"";"Manufacturer Recommendations";"";
"Q1";"NVD5C668NLT4G";"NVD5C668NLT4G";"DPAK_(SINGLE-GAUGE)_TO-252(369";"Power MOSFET 60V, 49 A, 8.9 mOhm, Single N-Channel, DPAK, Logic Level. DPAK 2500 tape and reel";"Power MOSFET 60V, 49 A, 8.9 mOhm, Single N-Channel, DPAK, Logic Level. DPAK 2500 tape and reel";"mm";"";"ON Semiconductor";"NVD5C668NLT4G";"";"863-NVD5C668NLT4G";"https://www.mouser.com/Search/Refine.aspx?Keyword=863-NVD5C668NLT4G";"";"";"";"";"";"";"";"";
